VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost
3960,DIAGEO NORTH AMERICA INC   ,8512,Baileys Irish Cream,14.720000267028809,19.989999771118164,750,72952,1073853.4367684973,73122.0,1456174.7693644671,340626.12608909607,57570.6904104352,257032.06952285767
7245,PROXIMO SPIRITS INC.       ,3802,Three Olives Vodka,13.430000305175781,18.989999771118164,1750,77066,1034996.3840698223,74722.0,1408627.7703141747,331726.6260547638,137288.57953369617,38994.7800655365
11567,CAMPARI AMERICA            ,3826,Skyy Vodka,15.739999771118164,19.989999771118164,1750,65382,1029112.6786120449,64388.0,1327401.1102217066,352821.77614974976,118298.36998164654,20964.810007333755
8112,MOET HENNESSY USA INC      ,42188,Moet & Chandon Nectar Imp Rs,34.0099983215332,52.9900016784668,750,29829,1014484.2855006453,29498.0,1533634.5221824634,132343.6742515564,3314.2300087809563,48347.26006126404
17035,PERNOD RICARD USA          ,3423,Beefeater,21.25,26.989999771118164,1750,46163,980963.75,44762.0,1177834.375510328,367508.00681877136,82244.16016030312,123780.22020339966
8004,SAZERAC CO INC             ,5138,Fireball Cinnamon Whisky,11.100000381469727,13.989999771118164,750,87954,976289.3988433793,84289.0,1174428.3579374666,257643.30580711365,66360.95050489902,50293.61984348297
17035,PERNOD RICARD USA          ,5734,Malibu Rum,15.819999694824219,21.989999771118164,1750,61639,975128.9792050204,60102.0,1293182.9718740813,315290.17666244507,110429.44998264313,123780.22020339966
480,BACARDI USA INC            ,4227,Bacardi Superior Rum Trav,14.170000076293945,17.989999771118164,1750,68294,967725.9789295966,75147.0,1323223.5265464783,177578.64770317078,138074.08901643753,89286.26965904236
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.760000228881836,18.989999771118164,750,69299,953554.2401880515,70603.0,1355204.9581554374,331321.58607673645,55584.91040992737,144929.24016594887
1128,BROWN-FORMAN CORP          ,1232,Jack Daniels No 7 Black,15.930000305175781,22.989999771118164,750,52932,843206.7613220209,53206.0,1255188.9331099668,394500.8561973572,41888.06033176184,68601.68014144897
12546,JIM BEAM BRANDS COMPANY    ,1385,Makers Mark,20.450000762939453,26.989999771118164,750,41048,839431.5979682939,37615.0,1034144.8452003461,396827.64674186707,29615.600289285183,123880.96989059448
8004,SAZERAC CO INC             ,5103,Fireball Cinnamon Whisky,17.139999389648438,23.989999771118164,1750,44198,757553.7116790811,43533.0,1093841.666112745,364814.6366958618,79984.58023881912,50293.61984348297
17035,PERNOD RICARD USA          ,8000,The Glenlivet 12 Yr Single,53.959999084472656,67.98999786376953,1750,13759,742435.6435998578,13210.0,910688.8838705436,453044.26596069336,24275.310269594193,123780.22020339966
3960,DIAGEO NORTH AMERICA INC   ,2432,Crown Royal,17.59000015258789,22.989999771118164,750,41893,736897.871715851,41506.0,967005.9343023663,361149.7864933014,32678.120300352573,257032.06952285767
17035,PERNOD RICARD USA          ,5365,Kahlua,14.84000015258789,18.989999771118164,750,48583,720971.7224011227,48615.0,932815.843060529,323296.756149292,38272.730340600014,123780.22020339966
3960,DIAGEO NORTH AMERICA INC   ,3876,Smirnoff 80 Proof,13.949999809265137,19.989999771118164,1750,50962,710919.8972608587,64266.0,1210481.3321132627,298050.95642852783,118078.44974684715,257032.06952285767
1392,CONSTELLATION BRANDS INC   ,3913,Svedka Vodka,14.279999732971191,17.989999771118164,1750,48481,692308.6809228974,47805.0,875307.9448029308,271014.4266681671,87832.83023285866,79528.99032592773
8004,SAZERAC CO INC             ,3522,Platinum 7X Distilled Vodka,9.619999885559082,12.989999771118164,1750,71899,691668.3773319877,70351.0,914148.4875946023,232302.7759437561,129253.36990559101,50293.61984348297
1392,CONSTELLATION BRANDS INC   ,2114,Black Velvet Canadian Whisky,9.40999984741211,12.989999771118164,1750,73227,689066.0695706187,72043.0,948838.5678829174,229797.42605018616,132364.70989763737,79528.99032592773
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.4399995803833,12.989999771118164,750,80030,675453.1959895054,78392.0,1095045.0369537338,199092.2669649124,8799.820017278194,144929.24016594887
9552,M S WALKER INC             ,3893,Zhenka 80 Proof,7.929999828338623,9.989999771118164,1750,81447,645874.7127641634,81723.0,816412.7644394666,171058.76608085632,150149.62942659855,55551.819732666016
1128,BROWN-FORMAN CORP          ,811,Jack Daniels No 7 Black,19.84000015258789,29.989999771118164,1000,32554,645871.3628656003,32064.0,937915.3587042983,253234.69804763794,33667.19969320297,68601.68014144897
3960,DIAGEO NORTH AMERICA INC   ,2443,Seagrams VO,13.479999542236328,16.989999771118164,1750,47654,642375.9158728125,47446.0,902489.5346341688,273169.25676727295,87173.57016456127,257032.06952285767
660,SAZERAC NORTH AMERICA INC. ,2127,Canadian Ltd,7.190000057220459,10.489999771118164,1750,86887,624717.5302368022,86195.0,899110.5442207322,183132.55598449707,158367.2096259594,17932.330037117004
1392,CONSTELLATION BRANDS INC   ,6682,R M Woodbridge Chard Cal,6.03000020980835,8.989999771118164,1500,101547,612328.4109132235,101339.0,1016328.6081690207,161300.3464832306,22776.050009936094,79528.99032592773
3960,DIAGEO NORTH AMERICA INC   ,3798,Ciroc Apple Vodka,19.829999923706055,28.989999771118164,750,30830,611358.9054901131,29647.0,748067.5300474542,157601.67859649658,23348.15010225773,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,4262,Capt Morgan Spiced Rum,11.1899995803833,13.989999771118164,750,54552,610436.8761814669,55710.0,862422.8973693073,241540.92647361755,43861.640337228775,257032.06952285767
1128,BROWN-FORMAN CORP          ,2015,Jack Daniels Tennessee Honey,18.100000381469727,22.989999771118164,750,33715,610241.4983989701,32969.0,771010.3056289653,303753.14702796936,25959.910252273083,68601.68014144897
12546,JIM BEAM BRANDS COMPANY    ,1737,Makers Mark,34.29999923706055,51.9900016784668,1750,17537,601519.1015212986,16089.0,823521.129013517,432234.79413604736,29564.92035830021,123880.96989059448
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.590000152587891,9.949999809265137,750,91140,600612.6016474884,90267.0,890334.4102297958,124833.97755336761,10138.880009233952,144929.24016594887
6785,PALM BAY INTERNATIONAL INC ,6937,Cavit Pinot Grigio,6.75,9.989999771118164,1500,88752,599076.0,87974.0,945345.0175572195,164272.2869796753,19771.269996464252,13605.41001367569
8112,MOET HENNESSY USA INC      ,4689,Hennessy Privilege VSOP,33.33000183105469,45.9900016784668,750,17838,594540.5371536268,18005.0,858571.9560589594,177136.37614822388,14178.850098371506,48347.26006126404
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.540000915527344,23.989999771118164,1000,35922,594149.8788505521,34901.0,842326.9863037849,253126.1776008606,36646.04950642586,144929.24016594887
17035,PERNOD RICARD USA          ,3625,Absolut 80 Proof,12.59000015258789,16.989999771118164,750,45969,578749.7152882403,44406.0,785296.9373505381,270297.41650772095,34961.13028371334,123780.22020339966
8112,MOET HENNESSY USA INC      ,7865,Moet & Chandon Imperial,23.969999313354492,34.9900016784668,750,24088,577389.3623403173,23290.0,834892.1132482896,249582.17155456543,2606.5299993753433,48347.26006126404
12546,JIM BEAM BRANDS COMPANY    ,1346,Knob Creek Bourbon,22.549999237060547,29.989999771118164,750,25540,575927.0025138835,22144.0,684455.5571736124,350154.7074069977,17438.070223748684,123880.96989059448
7239,REMY COINTREAU USA INC     ,5242,Cointreau Liqueur,22.049999237060547,29.989999771118164,750,25361,559210.0529899558,24770.0,763368.3022173296,351898.2717819214,19504.750229239464,16978.669976234436
7239,REMY COINTREAU USA INC     ,4722,Remy Martin VSOP Cognac,27.770000457763672,34.9900016784668,750,19910,552900.6958421303,18637.0,665392.6401528922,204514.67945480347,14677.690138101578,16978.669976234436
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.890000343322754,19.989999771118164,750,46257,549995.7274076832,46511.0,923055.2501419056,185950.7405796051,5216.400013357401,144929.24016594887
8664,"STOLI GROUP,(USA) LLC      ",3630,Stolichnaya Razberi,19.829999923706055,24.989999771118164,1750,27479,544908.5753966521,27622.0,700960.7770639019,298569.6073131561,50751.810432076454,18544.49001264572
1128,BROWN-FORMAN CORP          ,2760,Jack Daniels Tennessee Honey,28.020000457763672,38.9900016784668,1750,19219,538516.3775207478,18250.0,701171.5179388409,345701.21507263184,33536.430374622345,68601.68014144897
3960,DIAGEO NORTH AMERICA INC   ,8178,Bulleit Bourbon,18.510000228881836,25.989999771118164,750,28421,526072.7079063387,27204.0,724379.9570548992,301943.55742645264,21421.640223264694,257032.06952285767
3089,SIDNEY FRANK IMPORTING CO  ,5445,Jagermeister Liqueur,11.760000228881836,15.989999771118164,750,44330,521320.7964665194,41133.0,661672.6671182227,253884.33641433716,32383.340273618698,8549.550047636032
3252,E & J GALLO WINERY         ,14006,Apothic Winemakers Red Blend,5.440000057220459,9.989999771118164,750,94779,515597.7591239041,91600.0,812899.3757298654,143899.92684841156,10283.260015845299,61966.90998840332
3664,WILLIAM GRANT & SONS INC   ,3238,Hendrick's Gin,22.829999923706055,29.989999771118164,750,22352,510296.1567878722,20847.0,632474.5316310105,294114.6412410736,16416.80019545555,30234.420093536377
12546,JIM BEAM BRANDS COMPANY    ,3980,Hornitos Reposado Tequila,31.989999771118164,39.9900016784668,1750,15805,505601.952208713,15381.0,565522.2081129444,323365.6346664429,28264.51040184498,123880.96989059448
7245,PROXIMO SPIRITS INC.       ,3776,Jose Cuervo Especial Silver,18.559999465942383,25.989999771118164,1750,26795,497315.1989346983,25596.0,684036.036572722,295186.90748023987,47031.43034338951,38994.7800655365
3960,DIAGEO NORTH AMERICA INC   ,3746,Gordons Vodka 80 Proof,8.520000457763672,12.989999771118164,1750,58309,496792.67942633847,57845.0,724360.5484793078,188936.73658370972,106278.68006563187,257032.06952285767
17035,PERNOD RICARD USA          ,3728,Absolut Citron,18.93000030517578,24.989999771118164,1750,25959,491403.8726943976,26222.0,658689.7772078684,288436.22737312317,48180.15044248104,123780.22020339966
3924,HEAVEN HILL DISTILLERIES   ,3243,Burnetts Vodka,8.260000228881836,10.489999771118164,1750,57575,475569.5011775945,57067.0,648535.3288725266,182200.22640037537,104847.72006380558,14069.870025634766
3089,SIDNEY FRANK IMPORTING CO  ,5440,Jagermeister Liqueur,25.920000076293945,34.9900016784668,1750,18298,474284.16533439583,18082.0,621256.1938021075,318571.8307361603,33226.63040518761,8549.550047636032
480,BACARDI USA INC            ,4245,Bacardi Superior Rum,7.929999828338623,11.989999771118164,750,58816,466410.8855234834,58320.0,643474.798567808,167950.56671714783,45919.420275866985,89286.26965904236
9165,ULTRA BEVERAGE COMPANY LLP ,36378,MezzaCorona Pnt Grigio,6.829999923706055,9.970000267028809,1500,68084,465013.72005928017,67195.0,695816.4110361094,155747.3666715622,15097.469986647367,68054.7001876831
3664,WILLIAM GRANT & SONS INC   ,4198,Sailor Jerry Spiced Navy Rum,17.510000228881836,24.989999771118164,1750,25998,455224.97919089947,23008.0,575754.9170302567,288223.9773788452,42276.160506010056,30234.420093536377
10000,MAJESTIC FINE WINES        ,24325,La Crema Chard Sonoma Cst,10.880000114440918,15.989999771118164,750,41274,449061.11915176094,39387.0,658288.1282624038,155090.7278881073,4415.600007548928,17587.590042114258
17035,PERNOD RICARD USA          ,5735,Malibu Rum,9.289999961853027,11.989999771118164,750,48121,447044.09401683754,46557.0,598769.4285924513,181685.18677711487,36656.77024960518,123780.22020339966
8112,MOET HENNESSY USA INC      ,5342,Grand Marnier,19.850000381469727,28.989999771118164,750,22234,441344.89929886,22623.0,687309.776429365,335050.7849063873,17815.45022070408,48347.26006126404
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,23.700000762939453,31.989999771118164,1750,18409,436293.2983863861,18376.0,667168.2570919787,306347.9541091919,33767.50028645992,5861.029975891113
1392,CONSTELLATION BRANDS INC   ,19748,Clos du Bois Chard,9.199999809265137,13.989999771118164,1500,47153,433807.600799372,46069.0,701955.5884253677,166739.1579093933,10347.029990881681,79528.99032592773
8112,MOET HENNESSY USA INC      ,3668,Belvedere Polish Vodka,34.119998931884766,42.9900016784668,1750,12713,433767.5594393868,12218.0,536414.8331538381,282790.96075057983,22452.6402657032,48347.26006126404
2561,EDRINGTON AMERICAS         ,2520,The Macallan 12 Yr Old,42.209999084472656,62.9900016784668,750,10227,431681.6669134526,9713.0,572039.879729918,344176.98670578003,7651.830121219158,9654.499965667725
3960,DIAGEO NORTH AMERICA INC   ,8202,Sambuca Romana,13.329999923706055,17.989999771118164,750,32375,431558.75487205695,31816.0,606781.8372047406,219853.85738754272,25052.70023703575,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,3276,Gordons London Dry,9.619999885559082,14.989999771118164,1750,44631,429350.2199893414,44434.0,643753.6583322128,185732.18709754944,81641.21013247967,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,497,Capt Morgan Spiced Rum,14.699999809265137,19.989999771118164,1000,29200,429239.99533558276,29238.0,584467.6175442494,145247.33833694458,30699.899727344513,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,1883,Seagrams 7 Crown,13.229999542236328,17.989999771118164,1750,32253,426707.1864811781,32430.0,583415.6977929672,227105.7571105957,59584.78042781353,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,2767,Johnnie Walker Blue Label,139.6999969482422,189.99000549316406,750,2963,413931.102560426,2761.0,548648.3992968744,399868.0309753418,2176.6100425720215,257032.06952285767
17035,PERNOD RICARD USA          ,482,Absolut 80 Proof,14.279999732971191,21.989999771118164,1000,28888,412520.6417723049,27866.0,599601.3364459214,198436.0578956604,29259.299600362778,123780.22020339966
3960,DIAGEO NORTH AMERICA INC   ,8778,Bulleit Bourbon,37.290000915527344,49.9900016784668,1750,10966,408922.14163940295,10796.0,525233.0523670951,304106.5804786682,19841.33023762703,257032.06952285767
1128,BROWN-FORMAN CORP          ,1220,Woodford Reserve Bourbon,21.889999389648438,29.989999771118164,750,18645,408139.0427984681,18408.0,589481.9242919908,293510.15340423584,14496.360179364681,68601.68014144897
3960,DIAGEO NORTH AMERICA INC   ,2418,Crown Royal Regal Apple,16.530000686645508,22.989999771118164,750,24558,405943.7420920526,24284.0,570271.156367339,263621.2274417877,19122.70022279024,257032.06952285767
1392,CONSTELLATION BRANDS INC   ,8504,R M Woodbridge Cab Svgn Cal,5.840000152587891,8.989999771118164,1500,69263,404495.92214324785,68667.0,686725.3276016223,148661.0167274475,15427.259990274906,79528.99032592773
660,SAZERAC NORTH AMERICA INC. ,3684,Fleischmanns Royal Vodka,7.679999828338623,9.989999771118164,1750,52351,402055.68409660057,51954.0,527560.9549220268,156288.15649032593,95452.87023925781,17932.330037117004
3252,E & J GALLO WINERY         ,14622,La Marca Prosecco,8.65999984741211,12.989999771118164,750,46387,401711.4185212718,45608.0,558344.6885236359,124562.15748596191,5114.600007072091,61966.90998840332
8004,SAZERAC CO INC             ,3246,Bentley's Vodka,6.710000038146973,8.789999961853027,1750,59841,401533.1067216896,59245.0,520763.5536858747,136913.03940582275,108849.58000302315,50293.61984348297
17035,PERNOD RICARD USA          ,8339,The Glenlivet 12 Yr Single,30.209999084472656,42.9900016784668,750,13250,400282.496928711,12463.0,544906.3855805956,335249.3928604126,9818.560151934624,123780.22020339966
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,14.699999809265137,21.989999771118164,750,27186,399634.1968893063,26178.0,571763.2163579547,228705.94766426086,20614.870224893093,5861.029975891113
3960,DIAGEO NORTH AMERICA INC   ,1869,Oban 14-Yr Single Malt,40.13999938964844,54.9900016784668,750,9892,397064.8785144033,9219.0,549291.8210192859,302801.33850479126,7262.520094275475,257032.06952285767
8112,MOET HENNESSY USA INC      ,8622,Dom Perignon,87.08999633789062,145.99000549316406,750,4544,395736.955253906,4127.0,589317.7455987543,312139.2219696045,459.14999981224537,48347.26006126404
3960,DIAGEO NORTH AMERICA INC   ,1868,Lagavulin Single Malt 16-Yr,49.619998931884766,66.98999786376953,750,7821,388078.0203578194,7644.0,550740.549978942,334191.7201156616,6022.610092103481,257032.06952285767
480,BACARDI USA INC            ,508,Bacardi Superior Rum,9.770000457763672,12.989999771118164,1000,38957,380609.8892575048,38335.0,522309.15060455253,123060.87799453735,40251.74960207939,89286.26965904236
3924,HEAVEN HILL DISTILLERIES   ,1180,Evan Williams Black Label B,13.069999694824219,16.989999771118164,1750,29070,379944.8964627107,28291.0,543425.0869361864,233334.64729118347,51982.140414476395,14069.870025634766
8112,MOET HENNESSY USA INC      ,4673,Hennessy VS Cognac,46.65999984741211,69.98999786376953,1750,8132,379439.11679351976,8118.0,549271.8161642452,225142.97619628906,14917.300118088722,48347.26006126404
1128,BROWN-FORMAN CORP          ,2143,Canadian Mist,10.069999694824219,12.989999771118164,1750,37653,379165.70439544815,37763.0,518089.3683615107,180374.15700531006,69382.94037103653,68601.68014144897
4425,MARTIGNETTI COMPANIES,11214,Caymus Cab Svgn Napa Vly,50.33000183105469,74.98999786376953,750,7505,377726.6547576912,7612.0,534970.9121926875,222174.10260772705,849.1700004190207,144929.24016594887
17035,PERNOD RICARD USA          ,2646,Chivas Regal,43.29999923706055,58.9900016784668,1750,8702,376796.59426956024,8233.0,462119.6809785454,267131.5379676819,15131.22018969059,123780.22020339966
7245,PROXIMO SPIRITS INC.       ,8691,Jose Cuervo Especial,11.899999618530273,14.989999771118164,750,31495,374790.4992195126,31383.0,494108.1673941027,216863.3568725586,24709.810254752636,38994.7800655365
3960,DIAGEO NORTH AMERICA INC   ,4330,Capt Morgan Spiced Rum 100,20.790000915527344,25.989999771118164,1750,17755,369126.447734677,17633.0,482985.66748802084,267976.3277645111,32401.760438919067,257032.06952285767
1485,CASTLE BRANDS CORP.        ,4225,Goslings Black Seal Bermuda,18.3700008392334,24.989999771118164,1750,20089,369034.9309275766,20179.0,522535.20768157876,230329.07796478271,37080.62026774883,8497.589941978455
1392,CONSTELLATION BRANDS INC   ,6479,Clos du Bois Chard,5.949999809265137,8.989999771118164,750,61869,368120.5502697003,61253.0,567452.4669971456,110538.3473072052,6872.190013840795,79528.99032592773
4425,MARTIGNETTI COMPANIES,3485,Luksusowa Potato Vodka,15.029999732971191,19.989999771118164,1750,24202,363756.06098220666,23843.0,485688.56677101034,237850.8373413086,43809.6505150795,144929.24016594887
17035,PERNOD RICARD USA          ,800,Jameson Irish Whiskey,24.020000457763672,31.989999771118164,1000,15142,363710.83681518474,14506.0,468587.9448421471,124940.36326026917,15231.299817800522,123780.22020339966
12546,JIM BEAM BRANDS COMPANY    ,1345,Basil Hayden Bourbon,28.450000762939453,37.9900016784668,750,12761,363050.44785080146,12902.0,494732.99422790424,272052.0919036865,10162.800144851208,123880.96989059448
3664,WILLIAM GRANT & SONS INC   ,1956,Balvenie 12 Yr Doublewood S,39.9900016784668,53.9900016784668,750,9013,360429.87271637085,7922.0,456461.7910287467,290627.858417511,6241.490108728409,30234.420093536377
17035,PERNOD RICARD USA          ,2932,Jameson Black Barrel,24.610000610351562,31.989999771118164,750,14642,360339.62262024044,13785.0,444452.14977432135,262340.4896507263,10859.05016618967,123780.22020339966
12546,JIM BEAM BRANDS COMPANY    ,5391,Kamora Coffee,12.020000457763672,15.989999771118164,1750,29914,359566.28353148844,29911.0,491568.887352752,219621.58694648743,54956.100575208664,123880.96989059448
3960,DIAGEO NORTH AMERICA INC   ,1384,Bulleit 95 Rye,18.93000030517578,25.989999771118164,750,18900,357777.00084228424,17620.0,470254.79754012957,239842.65795516968,13877.410185694695,257032.06952285767
1392,CONSTELLATION BRANDS INC   ,38546,Mark West Pnt Nr Sonoma,5.059999942779541,9.989999771118164,750,70531,356886.86086419714,70188.0,675519.6151448047,133090.846906662,7876.000013306737,79528.99032592773
12546,JIM BEAM BRANDS COMPANY    ,3982,Hornitos Reposado Tequila,14.380000114440918,19.989999771118164,750,24801,356638.37689033337,22099.0,469603.0072856131,226692.59756469727,17402.72020292282,123880.96989059448
3252,E & J GALLO WINERY         ,3180,New Amsterdam Vodka,10.9399995803833,16.989999771118164,1750,32413,354598.2187322302,33938.0,581784.6172317486,232222.53694534302,62355.96045410633,61966.90998840332
1128,BROWN-FORMAN CORP          ,1789,Jack Daniels Tennesse Fire,17.15999984741211,22.989999771118164,750,20590,353324.39861419663,20025.0,469722.7470230088,237927.50767707825,15770.390205085278,68601.68014144897
1485,CASTLE BRANDS CORP.        ,1269,Jeffersons Bourbon,19.110000610351562,25.989999771118164,750,18458,352732.3828515597,16976.0,447608.23801078694,227255.98803138733,13370.660180568695,8497.589941978455
3960,DIAGEO NORTH AMERICA INC   ,3456,Tanqueray Sterling Vodka,13.270000457763672,18.989999771118164,1750,26543,352225.6128369109,25684.0,483047.15838256764,171496.44795036316,47193.95020985603,257032.06952285767
4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,4.650000095367432,6.789999961853027,750,74342,345690.29880618927,72139.0,591669.5271160882,101451.9173412323,8099.380021184683,144929.24016594887
1128,BROWN-FORMAN CORP          ,1231,Jack Daniels No 7 Black,9.479999542236328,12.989999771118164,375,36450,345545.9991494745,35733.0,435377.66857612494,192455.15645599365,14044.219911932945,68601.68014144897
480,BACARDI USA INC            ,3344,Bombay Sapphire Gin,14.489999771118164,19.989999771118164,750,23798,344833.0217808558,24620.0,516761.7970063009,236205.69747543335,19388.25020122528,89286.26965904236
